change	positive declarative	positive declarative	positive declarative	positive declarative	positive declarative	positive declarative	positive declarative	positive declarative	positive declarative
change									
change	infinitive	infinitive	infinitive	değiştirmek	değiştirmek	değiştirmek	değiştirmek	değiştirmek	değiştirmek
change	impersonal participle	imperfective	imperfective	değiştiren	değiştiren	değiştiren	değiştiren	değiştiren	değiştiren
change	impersonal participle	perfective	perfective	değiştirmiş	değiştirmiş	değiştirmiş	değiştirmiş	değiştirmiş	değiştirmiş
change	impersonal participle	prospective	prospective	değiştirecek	değiştirecek	değiştirecek	değiştirecek	değiştirecek	değiştirecek
change	personal participle	non-prospective	non-prospective	değiştirdiğim	değiştirdiğin	değiştirdiği	değiştirdiğimiz	değiştirdiğiniz	değiştirdikleri
change	personal participle	prospective	prospective	değiştireceğim	değiştireceğin	değiştireceği	değiştireceğimiz	değiştireceğiniz	değiştirecekleri
change	verbal noun	verbal noun	verbal noun	değiştirme	değiştirme	değiştirme	değiştirme	değiştirme	değiştirme
change	way of doing	way of doing	way of doing	değiştiriş	değiştiriş	değiştiriş	değiştiriş	değiştiriş	değiştiriş
change				singular	singular	singular	plural	plural	plural
change				1st person	2nd person	3rd person	1st person	2nd person	3rd person
change				ben	sen	o	biz	siz	onlar
change	indicative	present	aorist	değiştiririm	değiştirirsin	değiştirir	değiştiririz	değiştirirsiniz	değiştirirler
change	indicative	present	imperfective	değiştiriyorum	değiştiriyorsun	değiştiriyor	değiştiriyoruz	değiştiriyorsunuz	değiştiriyorlar
change	indicative	past	perfective	değiştirdim	değiştirdin	değiştirdi	değiştirdik	değiştirdiniz	değiştirdiler
change	indicative	past	imperfective	değiştiriyordum	değiştiriyordun	değiştiriyordu	değiştiriyorduk	değiştiriyordunuz	değiştiriyorlardı (or değiştiriyordular)
change	indicative	future	future	değiştireceğim	değiştireceksin	değiştirecek	değiştireceğiz	değiştireceksiniz	değiştirecekler
change	inferential	perfective	perfective	değiştirmişim	değiştirmişsin	değiştirmiş	değiştirmişiz	değiştirmişsiniz	değiştirmişler
change	inferential	aorist	aorist	değiştirirmişim	değiştirirmişsin	değiştirirmiş	değiştirirmişiz	değiştirirmişsiniz	değiştirirlermiş (or değiştirirmişlar)
change	inferential	imperfective	imperfective	değiştiriyormuşum	değiştiriyormuşsun	değiştiriyormuş	değiştiriyormuşuz	değiştiriyormuşsunuz	değiştiriyorlarmış
change	conditional	simple	simple	değiştirsem	değiştirsen	değiştirse	değiştirsek	değiştirseniz	değiştirseler
change	conditional	perfective	perfective	değiştirseydim	değiştirseydin	değiştirseydi	değiştirseydik	değiştirseydiniz	değiştirseydiler
change	optative	optative	optative	değiştireyim	değiştiresin	değiştire	değiştirelim	değiştiresiniz	değiştireler
change	progressive	progressive	progressive	değiştirmekteyim	değiştirmektesin	değiştirmekte	değiştirmekteyiz	değiştirmektesiniz	değiştirmekteler
change	necessitative	necessitative	necessitative	değiştirmeliyim	değiştirmelisin	değiştirmeli	değiştirmeliyiz	değiştirmelisiniz	değiştirmeliler
change	imperative	imperative	imperative		değiştir	değiştirsin		değiştirin	değiştirsinler
change									
change	positive interrogative	positive interrogative	positive interrogative	positive interrogative	positive interrogative	positive interrogative	positive interrogative	positive interrogative	positive interrogative
change									
change				singular	singular	singular	plural	plural	plural
change				1st person	2nd person	3rd person	1st person	2nd person	3rd person
change				ben	sen	o	biz	siz	onlar
change	indicative	present	aorist	değiştirir miyim?	değiştirir misin?	değiştirir mi?	değiştirir miyiz?	değiştirir misiniz?	değiştirirler mi?
change	indicative	present	imperfective	değiştiriyor muyum?	değiştiriyor musun?	değiştiriyor mu?	değiştiriyor muyuz?	değiştiriyor musunuz?	değiştiriyorlar mı?
change	indicative	past	perfective	değiştirdim mi?	değiştirdin mi?	değiştirdi mi?	değiştirdik mi?	değiştirdiniz mi?	değiştirdiler mi?
change	indicative	past	imperfective	değiştiriyor muydum?	değiştiriyor muydun?	değiştiriyor muydu?	değiştiriyor muyduk?	değiştiriyor muydunuz?	değiştiriyorlar mıydı?
change	indicative	future	future	değiştirecek miyim?	değiştirecek misin?	değiştirecek mi?	değiştirecek miyiz?	değiştirecek misiniz?	değiştirecekler mi?
change	inferential	perfective	perfective	değiştirmiş miyim?	değiştirmiş misin?	değiştirmiş mi?	değiştirmiş miyiz?	değiştirmiş misiniz?	değiştirmişler mi?
