appear	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only
appear	3rd singular	*h₁ludʰét			
appear	3rd plural	*h₁ludʰónt			
appear	active voice	indicative	imperative	subjunctive	optative
appear	1st singular	*h₁ludʰóm	—	*h₁ludʰṓh₂	*h₁ludʰóyh₁m̥
appear	2nd singular	*h₁ludʰés	*h₁ludʰé	*h₁ludʰḗsi	*h₁ludʰóys
appear	3rd singular	*h₁ludʰét	*h₁ludʰétu	*h₁ludʰḗti	*h₁ludʰóyt
appear	1st dual	*h₁ludʰówe	—	*h₁ludʰṓwos	*h₁ludʰóywe
appear	2nd dual	*h₁ludʰétom	*h₁ludʰétom	*h₁ludʰḗtes	*h₁ludʰóytom
appear	3rd dual	*h₁ludʰétām	*h₁ludʰétām	*h₁ludʰḗtes	*h₁ludʰóytām
appear	1st plural	*h₁ludʰóme	—	*h₁ludʰṓmos	*h₁ludʰóyme
appear	2nd plural	*h₁ludʰéte	*h₁ludʰéte	*h₁ludʰḗte	*h₁ludʰóyte
appear	3rd plural	*h₁ludʰónt	*h₁ludʰóntu	*h₁ludʰṓnti	*h₁ludʰóyh₁n̥t
appear					
appear	participle	*h₁ludʰónts			
be-inherently	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only
be-inherently	3rd singular	*h₁ésti				
be-inherently	3rd plural	*h₁sénti				
be-inherently	active voice	present indicative	past indicative	imperative	subjunctive	optative
be-inherently	1st singular	*h₁ésmi	*h₁ésm̥	—	*h₁ésoh₂	*h₁syéh₁m̥
be-inherently	2nd singular	*h₁ési	*h₁és	*h₁és, *h₁sdʰí	*h₁ésesi	*h₁syéh₁s
be-inherently	3rd singular	*h₁ésti	*h₁ést	*h₁éstu	*h₁éseti	*h₁syéh₁t
be-inherently	1st dual	*h₁swós	*h₁swé	—	*h₁ésowos	*h₁sih₁wé
be-inherently	2nd dual	*h₁stés	*h₁stóm	*h₁stóm	*h₁ésetes	*h₁sih₁tóm
be-inherently	3rd dual	*h₁stés	*h₁stā́m	*h₁stā́m	*h₁ésetes	*h₁sih₁tā́m
be-inherently	1st plural	*h₁smós	*h₁smé	—	*h₁ésomos	*h₁sih₁mé
be-inherently	2nd plural	*h₁sté	*h₁sté	*h₁sté	*h₁ésete	*h₁sih₁té
be-inherently	3rd plural	*h₁sénti	*h₁sént	*h₁séntu	*h₁ésonti	*h₁sih₁ént
be-inherently						
be-inherently	participle	*h₁sónts				
climb	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only	imperfective, thematic, active only
climb	3rd singular	*stéygʰeti				
climb	3rd plural	*stéygʰonti				
climb	active voice	present indicative	past indicative	imperative	subjunctive	optative
climb	1st singular	*stéygʰoh₂	*stéygʰom	—	*stéygʰōh₂	*stéygʰoyh₁m̥
climb	2nd singular	*stéygʰesi	*stéygʰes	*stéygʰe	*stéygʰēsi	*stéygʰoys
climb	3rd singular	*stéygʰeti	*stéygʰet	*stéygʰetu	*stéygʰēti	*stéygʰoyt
climb	1st dual	*stéygʰowos	*stéygʰowe	—	*stéygʰōwos	*stéygʰoywe
climb	2nd dual	*stéygʰetes	*stéygʰetom	*stéygʰetom	*stéygʰētes	*stéygʰoytom
climb	3rd dual	*stéygʰetes	*stéygʰetām	*stéygʰetām	*stéygʰētes	*stéygʰoytām
climb	1st plural	*stéygʰomos	*stéygʰome	—	*stéygʰōmos	*stéygʰoyme
climb	2nd plural	*stéygʰete	*stéygʰete	*stéygʰete	*stéygʰēte	*stéygʰoyte
climb	3rd plural	*stéygʰonti	*stéygʰont	*stéygʰontu	*stéygʰōnti	*stéygʰoyh₁n̥t
climb						
climb	participle	*stéygʰonts				
direct	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only	imperfective, athematic, active only
direct	3rd singular	*déwkti				
direct	3rd plural	*dukénti				
direct	active voice	present indicative	past indicative	imperative	subjunctive	optative
direct	1st singular	*déwkmi	*déwkm̥	—	*déwkoh₂	*dukyéh₁m̥
direct	2nd singular	*déwksi	*déwks	*déwk, *dukdʰí	*déwkesi	*dukyéh₁s
direct	3rd singular	*déwkti	*déwkt	*déwktu	*déwketi	*dukyéh₁t
direct	1st dual	*dukwós	*dukwé	—	*déwkowos	*dukih₁wé
direct	2nd dual	*duktés	*duktóm	*duktóm	*déwketes	*dukih₁tóm
