*	*	*	*	*	mood	prephrase	postphrase	#	auxillary	example moods in other languages					
#			evidentiality	confidence				#							
			presumed		indicative	[presumably]	∅	#							
			promised		indicative	[I vow]	∅	#		comissive					
#			sensed		indicated	[I noticed that]	∅	#							
			visual		indicative	[I saw that]	∅	#							
#			auditory		indicative	[I heard it when]	∅	#							
			nonvisual		indicative	[I sensed that]	∅	#							
			secondhand		indicative	[I heard that]	∅	#		inferential					
			thirdhand		indicative	[it is said that]	∅	#		inferential					
#			established		indicative	[it is well known that]	∅	#							
			circumstantial		indicative	[I suppose]	∅	#		presumptive					
#			means		indicative	∅	∅	#	be able	presumptive					
			motive		indicative	∅	∅	#	want	desiderative					
			necessity		indicative	∅	∅	#	need						
			conceded		indicative	[I will grant that]	∅	#							
			supposed		indicative	[suppose that]	∅	#		subjunctive					
			proposed	confident	indicative	∅	∅	#		indicative					
			proposed	probable	indicative	∅	∅	#	likely	potential					
			proposed	potential	indicative	[maybe]	∅	#		dubitative					
			proposed	improbable	indicative	∅	∅	#	might	dubitative					
			proposed	counterfactual	indicative	[it doesn't seem to be that]	∅	#		hypothetical					
			antecedent	confident	indicative	[given]	...	#							
			antecedent	probable	indicative	[in the likely event that]	[then]...	#							
			antecedent	potential	indicative	[if]	[then]...	#							
			antecedent	improbable	indicative	[even if]	[then]...	#							
			antecedent	counterfactual	indicative	[given it doesn't seem that]	[then]...	#							
			consequent	confident	indicative	[if so, then]	∅	#		eventitive					
			consequent	probable	indicative	[if so, then]	∅	#	likely	eventitive					
			consequent	potential	indicative	[if so, then maybe]	∅	#		conditional					
			consequent	improbable	indicative	[if so, then]	∅	#	might	conditional					
			consequent	counterfactual	indicative	[if so, then it doesn't seem that]	∅	#							
			deferred	confident	indicative	[I intend]	∅	#		injunctive					
			deferred	probable	indicative	[I intend]	∅	#		injunctive					
			deferred	potential	indicative	[I'm fine that]	∅	#		permissive					
			deferred	improbable	indicative	[I'm fine that]	∅	#		permissive					
			deferred	counterfactual	indicative	[I don't intend]	∅	#		permissive					
			wished		indicative	[if only]	∅	#		optative/necessitative					
			requested		indicative	[please, can it be that]	?	#		precative					
			encouraged		indicative	[c'mon, let's make it so]	!	#		hortative					
			implored		indicative	∅	!	#	should	jussive					
			commanded		indicative	[I command that]	!	#		imperative					
			prayed		indicative	[may it be that]	∅	#		optative/benedictive					
			queried		indicative	[is it true that]	?	#							
#															
#			E	P											
#	source	control	evidentiality	confidence											
#															
#	1	1	promised	confident											
#	1	2	useless	probable											
#	1	3	presumed	possible											
#	1	3	visual	"improbable	"											
#	1	3	nonvisual												
#	1	3	secondhand												
#	1	3	thirdhand												
#	1	3	circumstantial												
#	1	3	means												
#	1	3	motive												
#	1	3	proposed												
#	1	3	supposed												
#	1	3	conditional												
#	2	3	queried												
#	2	2	requested												
#	2	2	encouraged												
#	2	2	implored												
#	2	2	commanded												
#	2	2	prayed												
#	3	3	wished												
#	3	3	deferred												
