english	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated		english	translated	emoji
infinitive	infinitive	infinitive	indicative	indicative	indicative	indicative	indicative	indicative	indicative	indicative	subjunctive	subjunctive	subjunctive	subjunctive	imperative	imperative	participle	participle	group	argument	argument	
	bare	full	present	present	present	present	past	past	past	past	present	present	past	past			present	past		         		
			singular	singular	singular	plural	singular	singular	singular	plural	singular	plural	singular	plural	singular	plural						
			1	2	3		1	2	3													
be [temporarily]	bēon 	tō bēonne 	bēo	bist	biþ	bēoþ 	wæs	wǣre	wæs	wǣron	bēo	bēon	wǣre	wǣren 	bēo	bēoþ 	bēonde	(ġe)bēon 		well	wel	\p1{🧘\c1\g1}
be [inherently]	wesan 	to wesanne 	eom	eart	is	sind	wæs	wǣre	wæs	wǣron	sīe	sīen 	wǣre	wǣren 	wes	wesaþ 	wesende 	(ġe)bēon 		his descendant	his eafora	<sup>🧓<sup><sub>\p1{🧑\g1\c1}</sub
do	dōn	tō dōnne	dō	dēst	dēþ	dōþ	dyde	dydest	dyde 	dydon	dō	dōn 	dyde	dyde 	dō 	dōþ 	dōnde	(ġe)dōn 		the work	þe weorc	\p1{🧑\g1\c1\🌾}
go	gān	tō gānne	gā	gǣst	gǣþ	gāþ	ēode	ēodest	ēode 	ēodon	gā	gān 	ēode	ēode 	gā 	gāþ 	gānde	(ġe)gān 		to the castle	þe castel	"<big>🏰</big><span style=""font-size:60%"">←\p1{🚶\c1\g1}</span>"
want	willan	tō willenne 	wille	wilt	wile	willaþ	wolde	woldest	wolde	woldon 	wille	willen	wolde	wolde	wille	willaþ 	willende	*(ġe)willen 		to fight	tō feohtan	\p1{🤼\c1\g1}
steal	stelan	tō stelanne 	stele	stilst	stilþ	stelaþ 	stæl	stǣle	stæl	stǣlon 	stele	stelen	stǣle	stǣlen 	stel	stelaþ 	stelende	(ġe)stolen 	strong	the ring	þe hring	←<sup>💍</sup>\p1{🏃\c1\g1}
share	dǣlan	tō dǣlenne 	dǣle	dǣlst	dǣlþ	dǣlaþ	dǣlde	dǣldest	dǣlde	dǣldon 	dǣle	dǣlen	dǣlde	dǣlden 	dǣl	dǣlaþ 	dǣlende	(ġe)dǣled 	class 1 weak, most common	the food	þe fodan	\p1{💁\c1\g1}<sub>🍖</sub>
tame	teman	tō temenne 	temme	temest	temeþ	temmaþ	temede	temedest	temede	temedon 	temme	temmen	temede	temeden 	teme	temmaþ 	temmende	(ġe)temed 	class 1 weak, double consonant ending	the horse	þe hors	🐎\p1{🚶\c1\g1}
move	styrian	tō styrienne 	styrie	styrest	styreþ	styraþ	styrede	styredest	styrede	styredon 	styrie	styrien	styrede	styreden 	styre	styriaþ 	styriende	(ġe)styred 	class 1 weak, -rian ending	the stone	þe stān	<sup>←🪨</sup><big>\p1{🚶\c1\g1}</big>
love	lufian	tō lufienne 	lufiġe	lufast	lufaþ	lufiaþ	lufode	lufodest	lufode	lufodon 	lufiġe	lufiġen	lufode	lufoden 	lufa	lufiaþ 	lufiende	(ġe)lufod 	class 2 weak, -ian ending	the dog	þe docgan	←🐕<big>\p1{🧎\c1\g1}</big>
have	habban	tō hæbbenne	hæbbe	hæfst	hæfþ	habbaþ	hæfde	hæfdest 	hæfde 	hæfdon 	hæbbe	hæbben 	hæfde	hæfden 	hafa	habbaþ	hæbbende 	(ġe)hæfd 	class 3 weak, irregular	the money	þe feoh	\p1{💁\c1\g1}<sub>🪙</sub>
live	libban	tō libbenne	libbe	leofast	leofaþ	libbaþ	lifde	lifdest 	lifde 	lifdon 	libbe	libben 	lifde	lifden 	leofa	libbaþ	libbende 	(ġe)lifd 	class 3 weak, irregular	dangerously	frēcnelīċ	\p1{🧗\c1\g1}
say	seċġan	tō seċġenne	seċġe	sæġst	sæġþ	seċġaþ	sæġde	sæġdest 	sæġde 	sæġdon 	seċġe	seċġen 	sæġde	sæġden 	sæġe	seċġaþ	seċġende 	(ġe)sæġd 	class 3 weak, irregular	a prayer	ān ġebed	\p1{🧎\c1\g1}<sup>💬</sup>
think	hyċġan	tō hyċġenne 	hyċġe	hyġst	hyġþ	hyċġaþ	hogde	hogdest	hogde	hogdon 	hyċġe	hyċġen	hogde	hogden	hyġe	hyċġaþ 	hyċġende	(ġe)hogd 	class 3 weak, irregular			\p1{🤷\c1\g1}<sup>💭</sup>
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
