english			translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	translated	english	translated	emoji
infinitive	mood	group	infinitive	supine	indicative	indicative	indicative	indicative	subjunctive	subjunctive	imperative	imperative	participle	participle	argument	argument	
					present	present	past	past	present	past			present	past			
					singular	plural	singular	plural			singular	plural					
be	active	irregular	vara	varit	är 	äro 	var	voro	vare 	vore 	var	varen	varande		strong	stark	\n1{🏋️\c1\g1}
go	active	irregular	gå	gått 	går 	gå 	gick	gingo 	gå, gånge 	ginge 	gå, gack	gån 	gående	gången	to work	till jobbet	"<big>🏭</big><span style=""font-size:60%"">←\n1{🚶\c1\g1}</span>"
go	passive	irregular	gås	gåtts 	gås 	gås 	gicks	gingos 	gås, gånges 	ginges 			gående	gången	from work	från jobbet	"<span style=""font-size:60%"">←\n1{🚶\c1\g1}</span><big>🏭</big>"
call	active	regular -ar	kalla	kallat 	kallar 	kalla 	kallade	kallade	kalle 	kallade 	kalla	kallen 	kallande	kallad	the man by name	mannen vid namn	\n1{🙋\c1\g1}<sup>💬</sup>🙋\c4\m
call	passive	regular -ar	kallas	kallats	kallas 	kallas 	kallades	kallades 	kalles 	kallades 			kallande	kallad	by the man	av mannen	\n1{🙋\c1\g1}🙋\c4\m<sup>💬</sup>
close	active	regular -er, -de past tense	stänga	stängt 	stänger 	stänga 	stängde	stängde 	stänge 	stängde 	stäng	stängen 	stängande	stängd	the store	butiken	"<span style=""font-size:60%"">←\n1{🚶\c1\g1}</span><big>🏪</big>"
close	passive	regular -er, -de past tense	stängas	stängts 	stängs/stänges 	stängas 	stängdes	stängdes 	stänges 	stängdes 			stängande	stängd	by the authorities	av myndigheterna	"<big>🏪</big><span style=""font-size:60%"">\n1{🙍\c1\g1}</span>👮"
read	active	regular -er, -te past tense	läsa	läst 	läser 	läsa 	läste	läste 	läse 	läste 	läs	läsen 	läsande	läst	the book	boken	\n1{🧑\g1\c1}<sub>📕</sub>
read	passive	regular -er, -te past tense	läsas	lästs 	läses 	läsas 	lästes	lästes 	läses 	lästes 			läsande	läst	like a book	som en bok	\n1{🧑\g1\c1}<sub>📕</sub>🧑
sew	active	short -r	sy	sytt 	syr 	sy 	sydde	sydde 	sy 	sydde 	sy	syn 	syende	sydd	the shirt	skjortan	\n1{💁\c1\g1}<sub>👕</sub> 
sew	passive	short -r	sys	sytts 	sys 	sys 	syddes	syddes 	sys 	syddes 			syende	sydd	a new shirt	en ny skjorta	\n1{🙍\c1\g1} 💁\c4\f<sup>👕</sup> 
strike	active	strong irregular	stryka	strukit 	stryker 	stryka 	strök	ströko 	stryke 	ströke 	stryk	stryken 	strykande	struken	the earth	jorden	🪨<sup>⛏️</sup>\n1{🧑\g1\c1}
strike	passive	strong irregular	strykas	strukits 	stryks, strykes 	strykas 	ströks	strökos 	strykes 	strökes 			strykande	struken	by the wrestler	av brottaren	\n1{🤼\c1\g1}
																	
																	
																	
																	
																	
																	
																	
