english	mood	participle	english	translated	emoji		
infinitive			argument	argument		group	descendants                 
be	active	h₁sónts       	well	kóylom	\p1{🧘\c1\g1}	root-athematic                  	english 'was', spanish 'estar'
become	active	ónts          	well	kóylom	\p1{🏋\c1\g1}	root-athematic-perfective       	english 'be', spanish 'fuere' 
carry	active	bʰéronts      	the stone         	h₂éḱmonmₒ      	←<sup>🪨</sup><big> \p1{🚶\c1\g1}</big>	root-thematic                   	                            
carry	middle	bʰéromnos     	by the wind	h₂wéh₁n̥tead	💨\p1{🪂}→	root-thematic                   	                            
leave	active	linkʷónts     	the house         	dṓm            	"<span style=""font-size:60%"">←\p1{🚶\c1\g1}</span><big>🛖</big>"	nasal-infix                     	                            
leave	middle	linkʷmₒh₁nós  	by the man	ǵʰm̥nés	←🚶\c4\m\p1{🧍\c1\g1}	nasal-infix                     	                            
work	active	wrₒǵyónts     	                  	               	\p1{🧑\g1\c1\🌾}	ye-suffix                       	                            
work	middle	wrₒǵyómnos    	                  	               	\p1{🧑\g1\c1\🌾}🤴\c4	ye-suffix                       	                            
do	active	dʰédʰh₁nₒts   	the work          	wérǵom         	\p1{🧑\g1\c1\🌾}	reduplicated-athematic          	                            
do	middle	dʰédʰh₁mₒh₁nos	                  		\p1{🧑\g1\c1\🌾}	reduplicated-athematic      	
ask	active	prₒsḱónts     	the man	ǵʰmónm̥	🙍\c4\m\p1{🤷\c1\g1}<sup>💬</sup>	ske-suffix                      	                            
ask	middle	prₒsḱómnos    	by the man	ǵʰm̥nés	\p1{🙍\c1\g1}🤷\c4\m<sup>💬</sup>	ske-suffix                      	                            
stretch	active	tnnₒwónts     	the rope	roypnóm	\p1{🧑\g1\c1}↕🪢	nu-suffix                       	                            
stretch	middle	tnnₒwmₒh₁nós  	                  	               	\p1{🤸\c1\g1}	nu-suffix                       	                            
know	active	widwṓs        	                  	               	\p1{🙋\c1\g1}<sup>💡</sup>	root-stative                    	english 'wit',latin 'vidi'  
sit	active	sísdonts      	                  	               	\p1{🧘\c1\g1}	reduplicated-                   	thematic                    
protect	active	h₂léksonts    	the man	ǵʰmónm̥	\p1{💂\c1\g1}🧑\c4\m	se-suffix                       	                            
protect	middle	h₂léksomnos   	by the man	ǵʰm̥nés	\p1{🧑\g1\c1}💂\c4\m	se-suffix                       	                            
be red	active	h₁rudʰéh₁nₒts 	                  	               	"<span style=""filter: hue-rotate(-45deg)"">\p1{🧑\g1\c1}</span>"	eh₁-stative                     	                            
set down	active	sodéyonts     	the stone	h₂éḱmonmₒ      	<sup>↓🪨</sup><big>\p1{🚶\c1\g1}</big>	éye-causative/iterative         	                            
set down	middle	sodéyomnos    	by the wind	h₂wéh₁n̥tead	💨↓\p1{🪂}	éye-causative/iterative         	                            
want to see	active	wéydsonts     	the house         	dṓm            	\p1{🙋\c1\g1}<big>🛖</big>	(h₁)se-desiderative             	                            
want to see	middle	wéydsomnos    	                  	               	\p1{🙍\c1\g1}🙋\c4	(h₁)se-desiderative             	                            
renew	active	néweh₂nₒts    	the oath          	h₁óytom        	⟳\p1{🧎\c1\g1}<sup>💬</sup>	h₂-factitive                    	                            
renew	middle	néweh₂mₒh₁nos 	                  		⟳\p1{🧘\c1\g1}	h₂-factitive                    	                            
arrive	active	h₁ludʰónts    	at the house      	démey          	"<big>🛖</big><span style=""font-size:60%"">←\p1{🚶\c1\g1}</span>"	root-thematic-perfective        	                            
say	active	wéwkonts      	the prayer	gʷʰodʰyām	\p1{🧎\c1\g1}<sup>💬</sup>	reduplicated-thematic-perfective	                            
say	middle	wéwkomnos     	the prayer	gʷʰodʰyām	\p1{🧍\c1\g1}🧎\c4<sup>💬</sup>	reduplicated-thematic-perfective	                            
pointed out	active	déyḱsnₒts     	the way           	stóygʰom       	"<span style=""font-size:60%"">\p1{🙋\c1\g1}→</span><big>🏞️</big>"	s-suffix-perfective             	english 'teach'             
pointed out	middle	déyḱsmₒh₁nos  	the way           	stóygʰom       	"<span style=""font-size:60%"">\p1{🤷\c1\g1}🙋\c4→</span><big>🏞️</big>"	s-suffix-perfective             	english 'teach'             
